,Node count,Edge count,Average degree,Density,Average clustering coefficient
G_1,10734.0,13477.0,2.5110862679336687,0.00023395940258396242,0.03399794205026417
G_2,5287.0,6355.0,2.4040098354454322,0.00045478808843084226,0.03541647319974693
G_3,3149.0,3247.0,2.0622419815814546,0.0006550959280754303,0.022163908709307557
G_4,402.0,469.0,2.3333333333333335,0.005818786367414797,0.14746718346994994
